r1,r2,fhd
12,27,0.4625
12,28,0.4625
12,29,0.4825
12,30,0.5125
12,31,0.51
12,32,0.52
12,33,0.5075
12,34,0.4975
12,35,0.505
12,36,0.5
12,37,0.5125
12,38,0.5475
12,39,0.51
12,40,0.5075
12,41,0.41
12,42,0.4775
12,43,0.4625
12,44,0.4825
12,45,0.4875
12,46,0.49
12,47,0.44
12,48,0.4975
12,49,0.4625
12,50,0.5
12,51,0.5275
12,52,0.545
12,53,0.5225
12,54,0.495
12,55,0.5125
12,56,0.505
12,57,0.5175
12,58,0.45
12,59,0.5025
12,60,0.535
12,61,0.4975
12,62,0.46
12,63,0.5125
12,64,0.53
12,65,0.475
12,66,0.5025
12,67,0.4875
12,68,0.545
12,69,0.4475
12,70,0.515
12,71,0.495
12,72,0.5025
12,73,0.495
12,74,0.5025
12,75,0.545
12,76,0.53
12,77,0.515
12,78,0.4575
13,0,0.53
13,1,0.47
13,2,0.4875
13,3,0.53
13,4,0.525
13,5,0.4925
13,6,0.5275
13,7,0.4775
13,8,0.465
13,9,0.465
13,10,0.53
13,11,0.44
13,12,0.51
13,13,0.0
13,14,0.5
13,15,0.4975
13,16,0.4775
13,17,0.475
13,18,0.5225
13,19,0.475
13,20,0.485
13,21,0.515
13,22,0.485
13,23,0.485
13,24,0.5275
13,25,0.5075
13,26,0.5425
13,27,0.4825
13,28,0.5025
13,29,0.4725
13,30,0.5125
13,31,0.485
13,32,0.54
13,33,0.5225
13,34,0.5175
13,35,0.555
13,36,0.48
13,37,0.5075
13,38,0.4525
13,39,0.515
13,40,0.4875
13,41,0.495
13,42,0.4375
13,43,0.5025
13,44,0.4625
13,45,0.4875
13,46,0.54
13,47,0.475
13,48,0.4875
13,49,0.4825
13,50,0.455
13,51,0.5075
13,52,0.485
13,53,0.5175
13,54,0.485
13,55,0.4725
13,56,0.515
13,57,0.4775
13,58,0.56
13,59,0.4825
13,60,0.495
13,61,0.4675
13,62,0.52
13,63,0.5125
13,64,0.49
13,65,0.525
13,66,0.5625
13,67,0.4675
13,68,0.51
13,69,0.5675
13,70,0.505
13,71,0.45
13,72,0.5175
13,73,0.535
13,74,0.4475
13,75,0.48
13,76,0.52
13,77,0.49
13,78,0.5275
14,0,0.585
14,1,0.51
14,2,0.5025
14,3,0.475
14,4,0.47
14,5,0.4475
14,6,0.4825
14,7,0.4825
14,8,0.495
14,9,0.545
14,10,0.52
14,11,0.48
14,12,0.52
14,13,0.5
14,14,0.0
14,15,0.4575
14,16,0.4575
14,17,0.53
14,18,0.4725
14,19,0.51
14,20,0.54
14,21,0.5
14,22,0.435
14,23,0.485
14,24,0.4975
14,25,0.4775
14,26,0.5725
14,27,0.5025
14,28,0.5575
14,29,0.4925
14,30,0.4925
14,31,0.5
14,32,0.51
14,33,0.5125
14,34,0.4725
14,35,0.52
14,36,0.485
14,37,0.5175
14,38,0.4575
14,39,0.505
14,40,0.4975
14,41,0.515
14,42,0.4975
14,43,0.5575
14,44,0.4475
14,45,0.5025
14,46,0.495
14,47,0.52
14,48,0.5325
14,49,0.5275
14,50,0.55
14,51,0.5075
14,52,0.49
14,53,0.4675
14,54,0.51
14,55,0.4775
14,56,0.47
14,57,0.5225
14,58,0.49
14,59,0.5225
14,60,0.485
14,61,0.4925
14,62,0.545
14,63,0.4925
14,64,0.52
14,65,0.515
14,66,0.4925
14,67,0.5275
14,68,0.495
14,69,0.5075
14,70,0.495
14,71,0.51
14,72,0.5075
14,73,0.505
14,74,0.5375
14,75,0.495
14,76,0.51
14,77,0.485
14,78,0.5525
15,0,0.5575
15,1,0.4525
15,2,0.495
15,3,0.4825
15,4,0.5025
15,5,0.475
15,6,0.475
15,7,0.54
15,8,0.4975
15,9,0.5325
15,10,0.4525
15,11,0.5025
15,12,0.4775
15,13,0.4975
15,14,0.4575
15,15,0.0
15,16,0.48
15,17,0.5025
15,18,0.435
15,19,0.5225
15,20,0.4825
15,21,0.4625
15,22,0.5075
15,23,0.5275
15,24,0.53
15,25,0.515
15,26,0.51
15,27,0.545
15,28,0.55
15,29,0.475
15,30,0.525
15,31,0.4875
15,32,0.4825
15,33,0.485
15,34,0.47
15,35,0.5075
15,36,0.5275
15,37,0.515
15,38,0.48
15,39,0.4975
15,40,0.465
15,41,0.5425
15,42,0.505
15,43,0.55
15,44,0.47
15,45,0.505
15,46,0.5225
15,47,0.4975
15,48,0.54
15,49,0.515
15,50,0.4725
15,51,0.425
15,52,0.4625
15,53,0.48
15,54,0.5175
15,55,0.53
15,56,0.4875
15,57,0.505
15,58,0.4975
15,59,0.485
15,60,0.5425
15,61,0.525
15,62,0.5175
15,63,0.455
15,64,0.5125
15,65,0.4825
15,66,0.5
15,67,0.55
15,68,0.4875
15,69,0.475
15,70,0.4625
15,71,0.5675
15,72,0.535
15,73,0.4975
15,74,0.485
15,75,0.5075
15,76,0.5125
15,77,0.5225
15,78,0.47
16,0,0.5475
16,1,0.5425
16,2,0.49
16,3,0.5025
16,4,0.4625
16,5,0.555
16,6,0.47
16,7,0.47
16,8,0.5475
16,9,0.4825
16,10,0.5225
16,11,0.5075
16,12,0.5475
16,13,0.4775
16,14,0.4575
16,15,0.48
16,16,0.0
16,17,0.5125
16,18,0.515
16,19,0.4825
16,20,0.4975
16,21,0.4925
16,22,0.4725
16,23,0.4975
16,24,0.505
16,25,0.485
16,26,0.455
16,27,0.495
16,28,0.545
16,29,0.52
16,30,0.48
16,31,0.4625
16,32,0.5025
16,33,0.5
16,34,0.5
16,35,0.4225
16,36,0.4825
16,37,0.54
16,38,0.52
16,39,0.5025
16,40,0.42
16,41,0.5575
16,42,0.48
16,43,0.545
16,44,0.485
16,45,0.47
16,46,0.5425
16,47,0.4875
16,48,0.515
16,49,0.46
16,50,0.5025
16,51,0.51
16,52,0.4675
16,53,0.455
16,54,0.5275
16,55,0.505
16,56,0.4925
16,57,0.52
16,58,0.5625
16,59,0.47
16,60,0.5425
16,61,0.48
16,62,0.5125
16,63,0.49
16,64,0.4875
16,65,0.4675
16,66,0.475
16,67,0.515
16,68,0.4825
16,69,0.515
16,70,0.4725
16,71,0.5125
16,72,0.47
16,73,0.4825
16,74,0.48
16,75,0.5075
16,76,0.4575
16,77,0.5225
16,78,0.535
17,0,0.48
17,1,0.45
17,2,0.5225
17,3,0.455
17,4,0.565
17,5,0.4625
17,6,0.4875
17,7,0.4525
17,8,0.485
17,9,0.515
17,10,0.535
17,11,0.48
17,12,0.455
17,13,0.475
17,14,0.53
17,15,0.5025
17,16,0.5125
17,17,0.0
17,18,0.4725
17,19,0.505
17,20,0.515
17,21,0.48
17,22,0.475
17,23,0.535
17,24,0.5425
17,25,0.4675
17,26,0.5575
17,27,0.4825
17,28,0.5075
17,29,0.5025
17,30,0.5375
17,31,0.49
17,32,0.47
17,33,0.5175
17,34,0.5525
17,35,0.515
17,36,0.495
17,37,0.4825
17,38,0.4875
17,39,0.525
17,40,0.4925
17,41,0.535
17,42,0.4775
17,43,0.5075
17,44,0.5325
17,45,0.5225
17,46,0.5
17,47,0.505
17,48,0.4225
17,49,0.4775
17,50,0.535
17,51,0.5025
17,52,0.515
17,53,0.5075
17,54,0.475
17,55,0.4425
17,56,0.465
17,57,0.5125
17,58,0.48
17,59,0.5025
17,60,0.48
17,61,0.4425
17,62,0.49
17,63,0.5225
17,64,0.51
17,65,0.495
17,66,0.4725
17,67,0.4725
17,68,0.535
17,69,0.4625
17,70,0.485
17,71,0.545
17,72,0.4675
17,73,0.565
17,74,0.5375
17,75,0.475
17,76,0.485
17,77,0.45
17,78,0.4775
18,0,0.5375
18,1,0.4725
18,2,0.52
18,3,0.4975
18,4,0.5375
18,5,0.485
18,6,0.51
18,7,0.58
18,8,0.4825
18,9,0.5025
18,10,0.5025
18,11,0.5175
18,12,0.5225
18,13,0.5225
18,14,0.4725
18,15,0.435
18,16,0.515
18,17,0.4725
18,18,0.0
18,19,0.5325
18,20,0.4925
18,21,0.5025
18,22,0.4875
18,23,0.5925
18,24,0.53
18,25,0.53
18,26,0.47
18,27,0.455
18,28,0.5
18,29,0.47
18,30,0.5
18,31,0.5325
18,32,0.5425
18,33,0.52
18,34,0.46
18,35,0.5375
18,36,0.5125
18,37,0.49
18,38,0.45
18,39,0.4925
18,40,0.52
18,41,0.5125
18,42,0.475
18,43,0.5
18,44,0.515
18,45,0.535
18,46,0.4925
18,47,0.5075
18,48,0.51
18,49,0.475
18,50,0.5375
18,51,0.47
18,52,0.5075
18,53,0.48
18,54,0.4625
18,55,0.475
18,56,0.4725
18,57,0.51
18,58,0.4825
18,59,0.485
18,60,0.5025
18,61,0.5
18,62,0.5125
18,63,0.49
18,64,0.5125
18,65,0.5375
18,66,0.51
18,67,0.48
18,68,0.4925
18,69,0.51
18,70,0.5075
18,71,0.5275
18,72,0.48
18,73,0.4725
18,74,0.495
18,75,0.5075
18,76,0.4975
18,77,0.5275
18,78,0.52
19,0,0.45
19,1,0.51
19,2,0.5225
19,3,0.47
19,4,0.52
19,5,0.5075
19,6,0.5125
19,7,0.4625
19,8,0.5
19,9,0.465
19,10,0.545
19,11,0.525
19,12,0.575
19,13,0.475
19,14,0.51
19,15,0.5225
19,16,0.4825
19,17,0.505
19,18,0.5325
19,19,0.0
19,20,0.53
19,21,0.545
19,22,0.46
19,23,0.475
19,24,0.5025
19,25,0.5675
19,26,0.5625
19,27,0.5325
19,28,0.5225
19,29,0.4975
19,30,0.4175
19,31,0.42
19,32,0.505
19,33,0.4825
19,34,0.4975
19,35,0.495
19,36,0.46
19,37,0.5275
19,38,0.4925
19,39,0.56
19,40,0.4475
19,41,0.545
19,42,0.4825
19,43,0.5225
19,44,0.4975
19,45,0.4725
19,46,0.505
19,47,0.54
19,48,0.4625
19,49,0.5275
19,50,0.46
19,51,0.4925
19,52,0.525
19,53,0.4475
19,54,0.515
19,55,0.5025
19,56,0.515
19,57,0.4875
19,58,0.505
19,59,0.5025
19,60,0.58
19,61,0.4475
19,62,0.565
19,63,0.4725
19,64,0.49
19,65,0.535
19,66,0.5325
19,67,0.5525
19,68,0.47
19,69,0.5275
19,70,0.485
